,city,lat,long,temp(F),humidity(%),cloudiness(%),wind_speed
106,bestobe,52.4994,73.0975,31.91,72,0,9.53
107,suriapet,17.15,79.6167,77.81,56,0,4.16
108,burns lake,54.2332,-125.7638,41.36,82,0,3.38
109,chake chake,-5.2459,39.7666,84.92,97,8,7.63
110,lavrentiya,65.5842,-170.989,5.45,98,48,4.61
111,kavaratti,10.5669,72.642,85.46,98,0,11.32
112,vardo,39.6165,-77.7392,63.66,48,1,3.36
113,clyde river,70.4692,-68.5915,3.2,91,80,34.45
114,bay roberts,47.5759,-53.2834,38.59,29,90,16.11
115,tamandare,-8.2789,-70.7519,77.9,93,64,6.17
116,tuktoyaktuk,69.444,-133.032,-2.21,77,5,11.41
117,nova olinda do norte,-3.8927,-59.0954,94.82,48,0,5.95
118,faanui,-16.4834,-151.75,84.29,100,48,16.02
119,maunabo,18.0073,-65.8996,81.68,58,90,11.41
120,mahibadhoo,3.7833,72.9667,83.03,100,64,0.58
121,usinsk,65.9957,57.5571,23.09,81,0,10.2
122,torphins,57.1052,-2.6232,44.17,87,90,9.17
123,uruzgan,32.9278,66.6325,36.77,59,8,2.93
124,san patricio,-26.9767,-56.8274,71.6,79,76,4.72
125,tabou,4.4194,-7.3604,84.92,97,0,13.89
126,mezen,65.8522,44.24,34.79,81,88,6.62
127,alpena,45.0617,-83.4328,46.81,66,90,2.37
128,san jose,15.7917,120.9891,68.36,97,0,1.92
129,kahului,20.8894,-156.4728,76.39,65,20,4.7
130,curridabat,9.9144,-84.0376,83.64,51,75,10.29
131,moose factory,51.2585,-80.6095,21.2,67,90,8.05
132,panjakent,39.4962,67.6141,55.4,87,20,16.11
133,nieuw amsterdam,5.8833,-55.0834,89.1,52,20,13.87
134,arraial do cabo,-22.9663,-42.0245,87.8,66,0,9.17
135,dalvik,57.7865,14.1298,51.49,50,80,8.05
136,chincholi,17.4652,77.419,73.22,60,0,3.38
137,sistranda,63.7256,8.834,40.37,86,75,9.17
138,aberdeen,45.465,-98.4879,57.06,67,90,9.17
139,aranda de duero,41.6715,-3.6852,36.32,95,92,15.01
140,road town,18.4167,-64.6167,80.62,65,40,13.87
141,mahebourg,-20.4081,57.7,79.27,74,75,11.41
142,sao luiz gonzaga,-28.4084,-54.9609,73.4,76,92,7.96
143,zabol,31.0278,61.4948,77.0,47,40,11.41
144,cidreira,-30.1658,-50.2184,71.69,90,92,7.85
145,pisco,-13.71,-76.203,71.6,30,0,10.29
146,mumford,5.2614,-0.7599,85.19,74,0,12.21
147,mar del plata,-46.4276,-67.5191,71.87,33,0,1.7
148,alta floresta,-9.8716,-56.084,81.41,82,56,2.93
149,digha,21.6243,87.5095,83.21,86,68,8.97
150,yar-sale,66.8333,70.8333,29.84,84,80,24.96
151,mweka,-4.8477,21.5612,74.93,93,36,1.59
152,elko,40.8324,-115.7632,48.51,62,75,11.41
153,mollendo,-17.0293,-72.0156,74.12,66,0,3.6
154,tasiilaq,65.6145,-37.6368,32.0,91,75,28.86
155,ciudad guayana,8.3224,-62.6897,91.76,43,12,7.63
156,nizhnevartovsk,60.934,76.5804,21.2,79,0,4.47
157,kosh-agach,49.9947,88.6628,17.51,66,48,5.61
158,khandwa,21.8205,76.3568,81.5,23,0,8.41
159,manyana,-35.2564,150.514,63.48,88,90,6.93
160,axim,4.8654,-2.2422,84.02,97,0,13.22
161,virginia beach,36.853,-75.9775,57.43,87,90,10.29
162,ucluelet,48.9414,-125.5491,45.79,87,90,21.92
163,bilma,18.6929,12.9187,90.32,12,0,5.06
164,laguna,27.5185,-110.0074,77.0,33,5,5.82
165,tautira,-17.7334,-149.15,86.0,70,20,2.24
166,henties bay,-22.1161,14.2845,60.01,87,0,3.0
167,hithadhoo,-0.6,73.0833,84.29,100,44,6.17
168,ketchikan,55.3422,-131.6462,48.25,81,90,14.99
169,ondangwa,-17.9108,15.9763,84.2,23,0,1.12
170,wittmund,53.5793,7.7815,55.56,76,8,5.82
